MainHotel,Hotel_Name
728,Jayleen 1918 Hotel
729,Wanderlust Hotel
730,Santa Grand Hotel Bugis
731,Hotel Clover (Not Specified)
732,Aqueen Hotel - Lavender
733,Budgetone Hotel
734,Chang Ziang Hotel
736,Fragrance Hotel - Balestier
737,Fragrance Hotel - Bugis
738,Fragrance Hotel - Classic
739,Fragrance Hotel - Crystal
740,Fragrance Hotel - Imperial
741,Fragrance Hotel - Kovan
742,Fragrance Hotel - Lavender
743,Fragrance Hotel - Oasis
744,Fragrance Hotel - Ocean View
745,Fragrance Hotel - Rose
746,Fragrance Hotel - Royal
747,Fragrance Hotel - Sapphire
748,Fragrance Hotel - Sunflower
749,Fragrance Hotel - Viva
750,Fragrance Hotel - Waterfront
751,Golden Royal Hotel
752,Hotel 81 - Balestier
753,Hotel 81 - Bugis
754,Hotel 81 - Changi
755,Hotel 81 - Elegance
756,Hotel 81 - Fuji
757,Hotel 81 - Heritage
758,Hotel 81 - Joy
759,Hotel 81 - Kovan
760,Hotel 81 - Lavender
761,Hotel 81 - Osaka
762,Hotel 81 - Rochor
763,Hotel 81 - Sakura
764,Hotel 81 - Selegie
765,Hotel 81 - Spring
766,Hotel 81 - Violet
767,Econ Inn @ Beach Road
768,Value Hotel (Not specified)
770,Ibis Singapore on Bencoolen
771,Klapsons The Boutique Hotel
772,Le Hotel
773,Mövenpick Heritage Hotel Sentosa
774,Oasia Hotel
775,Oxley Hotel
776,Santa Grand Hotel Aljunied
777,Santa Grand Hotel Chinatown
778,Santa Grand Hotel Little India
779,The Fullerton Bay Hotel
780,Wangz Hotel
781,Marrison Hotel
782,The Ardennes Hotel
783,Orchid Hotel
784,Econ Inn @ Chinatown
785,Arianna Hotel
786,The Sultan
787,Park Avenue Rochester
788,Bay Hotel Singapore
789,Beach Villas
790,East Village Hotel
791,Equarius Hotel
793,Fragrance Hotel - Riverside
794,Grand C Hotel
795,Grand U Hotel
796,Le Imperial Singapore
798,The South Beach
799,Santa Grand Hotel East Coast
800,Santa Grand Hotel Lai Chun Yuen
818,Amber Hotel Katong
819,Home Suite Hotel 6
820,Madras Hotel Eminence
821,Kim Tian (Star) Hotel
822,Fragrance Hotel - Selegie
823,Mercury Boutique Hotel
824,Kam Leng Hotel
825,Budget Inn
826,5footway.inn Project Sultan
827,"Capri By Fraser Changi City, Singapore"
828,New Gateway Hotel
829,Park 22 Hotel
830,The Seacare Hotel
831,W Singapore Sentosa Cove Hotel
832,Somerset Liang Court
833,Days Hotel Singapore at Zhongshan Park
834,Venue Hotel
835,Soluxe Inn
836,Parkroyal on Pickering
837,Big Hotel
838,Amaris by Santika
839,Park Avenue Changi
840,Ramada Singapore at Zhongshan Park
842,Bliss Hotel Singapore
843,Changi Cove
844,Dorsett Singapore
845,Hotel Clover
846,Kim Tian Hotel (Han)
847,Naumi Liora
848,V Hotel Bencoolen
849,Holiday Inn Express Singapore Clarke Quay
850,Holiday Inn Express Singapore Orchard Road
851,Hotel 81 (Not Specified)
852,Fragrance Hotel (Not Specified)
853,Ibis Singapore (Not Specified)
854,Santa Grand (Not Specified)
